id,cluster
3118467,3
3146268,3
49795,4
49532,4
3195251,5
48999,4
50062,4
2898734,3
3064010,3
2919290,4
48666,3
49530,3
49792,3
50283,3
49174,4
48699,3
50346,3
49981,3
49865,3
49869,3
49306,3
49373,3
49252,4
50066,4
48692,3
48287,3
49061,3
50372,3
48209,4
2716664,3
50064,3
60537,4
48456,4
50027,3
49232,6
48597,3
49585,3
49403,3
49954,3
50207,3
49016,4
48636,4
48550,3
60501,3
50357,3
48178,3
48298,3
48608,3
48651,4
49075,4
50264,1
49442,4
49009,3
60468,1
60479,5
48941,3
50373,2
48983,3
49765,0
48839,3
2194389,3
48892,4
49444,3
48723,3
60502,3
49680,4
50278,3
50125,4
48790,3
48749,4
48971,4
50159,3
49443,3
49339,3
48247,3
60558,4
2391496,3
49600,4
49425,3
48222,3
49490,3
48147,3
50266,3
48426,3
2830911,3
48365,3
2844407,3
2851231,3
2851232,4
2864606,3
2864607,3
2871322,3
2878170,3
2905588,3
2960430,3
49019,3
2994756,3
3008560,3
49431,3
49699,3
49184,3
48729,5
60549,4
48321,3
49982,4
49508,4
49479,4
49855,4
48348,3
48942,4
48280,3
48335,3
49311,3
49873,3
48766,4
48397,4
49155,4
50342,5
60475,3
49295,3
48859,3
49212,3
48588,3
60464,3
60500,3
48732,3
2750158,3
48156,4
48146,3
48380,3
2470408,4
60523,3
49797,3
48261,3
49607,3
48476,4
60480,3
49065,3
49743,3
49932,3
48433,3
49762,4
48532,3
49841,3
2676425,3
49684,3
49151,3
50028,3
50359,4
50128,4
48576,3
49219,3
48236,3
49064,3
50041,3
48388,3
50045,3
49000,3
60506,3
49534,3
48798,3
49904,3
48792,1
48195,3
48713,4
49137,4
48726,3
49338,4
49357,4
50170,3
48621,4
49400,3
49670,4
49320,4
49390,3
49499,3
49078,3
49930,4
49385,3
50208,3
60555,3
49742,4
49689,4
50306,4
50069,3
49108,4
49746,3
50220,3
49701,4
49714,4
49715,3
49724,4
49884,4
49758,3
49761,4
50284,4
49439,3
48513,3
49111,4
49052,3
3073348,4
3086806,1
3183630,4
2833218,5
284000,5
283711,4
283924,1
284054,4
284095,4
283974,4
283730,4
283621,4
283862,4
283732,4
283805,4
305211,5
284124,1
284211,4
284178,4
284175,4
284180,4
283795,4
283725,4
284088,4
284201,4
284045,4
283835,4
283601,2
2860278,4
2860279,4
2866886,4
2873643,4
2914762,4
2955911,4
305157,4
283894,4
283766,4
283618,4
283857,4
2654419,1
2424251,4
2766003,4
305185,4
284189,4
284019,4
284105,1
283605,4
284213,4
283687,4
283858,4
283843,4
305169,1
284078,1
283907,4
305155,4
283909,1
283943,5
2799667,4
283686,4
283685,1
284055,4
283607,1
2786359,4
283916,4
284174,4
283596,4
284129,4
283585,4
305174,4
305199,1
2271597,4
284073,4
283815,4
284147,4
305200,4
283674,4
284041,4
283675,4
283694,4
283698,4
283838,4
283911,4
284023,4
284125,4
283603,4
283591,4
283946,4
283829,4
283941,1
284043,5
283613,4
284052,4
284137,4
283776,4
283655,4
283790,4
283767,4
283666,4
283883,4
284115,4
1585567,4
305172,4
284182,4
284207,4
283664,4
283669,5
283677,4
